Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Forward Checking,8,19,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0009999275207519531,28
Backtracking,8,20,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,20,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,21,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,21,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,22,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,22,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,23,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0009999275207519531,28
Forward Checking,8,23,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,24,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,24,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0010004043579101562,28
Backtracking,8,25,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,25,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,26,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0009996891021728516,28
Forward Checking,8,26,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,27,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,27,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,28,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0010001659393310547,28
Forward Checking,8,28,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,8,29,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,29,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0009999275207519531,28
Backtracking,8,30,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Forward Checking,8,30,"[0, 4, 7, 5, 2, 6, 1, 3]",0,True,0.0,28
Backtracking,10,1,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.00099945068359375,45
Forward Checking,10,1,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0,45
