Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Hill Climbing,8,16,"[0, 5, 3, 6, 0, 7, 4, 1]",1,False,0.0,2
Simulated Annealing,8,16,"[7, 7, 3, 0, 6, 1, 5, 2]",1,False,0.0039904117584228516,688
Hill Climbing,8,17,"[0, 3, 1, 6, 4, 2, 7, 5]",1,False,0.0005040168762207031,2
Simulated Annealing,8,17,"[6, 1, 5, 2, 0, 3, 7, 4]",0,True,0.0035009384155273438,640
Hill Climbing,8,18,"[7, 1, 6, 0, 5, 0, 4, 6]",2,False,0.0010156631469726562,3
Simulated Annealing,8,18,"[5, 7, 1, 6, 4, 2, 0, 3]",1,False,0.0039899349212646484,688
Hill Climbing,8,19,"[6, 1, 2, 0, 5, 7, 4, 0]",2,False,0.0009965896606445312,4
Simulated Annealing,8,19,"[5, 7, 4, 1, 3, 6, 0, 2]",1,False,0.002990245819091797,688
Hill Climbing,8,20,"[6, 2, 7, 5, 0, 3, 1, 4]",1,False,0.0015034675598144531,4
Simulated Annealing,8,20,"[6, 2, 5, 2, 0, 7, 3, 1]",1,False,0.0029964447021484375,688
Hill Climbing,8,21,"[5, 5, 2, 6, 0, 4, 7, 1]",3,False,0.0009965896606445312,2
Simulated Annealing,8,21,"[6, 1, 3, 7, 7, 4, 2, 0]",1,False,0.0029921531677246094,688
Hill Climbing,8,22,"[3, 5, 7, 4, 1, 0, 2, 6]",1,False,0.0009963512420654297,4
Simulated Annealing,8,22,"[2, 7, 1, 4, 2, 0, 6, 3]",1,False,0.0045108795166015625,688
Hill Climbing,8,23,"[7, 3, 4, 0, 1, 5, 6, 2]",3,False,0.0,2
Simulated Annealing,8,23,"[3, 7, 2, 4, 6, 0, 5, 1]",1,False,0.004199504852294922,688
Hill Climbing,8,24,"[5, 1, 6, 0, 2, 7, 4, 0]",2,False,0.0,1
Simulated Annealing,8,24,"[1, 3, 5, 7, 4, 0, 0, 6]",1,False,0.00550389289855957,688
Hill Climbing,8,25,"[3, 0, 4, 7, 1, 6, 2, 5]",0,True,0.0009968280792236328,3
Simulated Annealing,8,25,"[0, 5, 3, 1, 6, 7, 2, 4]",1,False,0.004983186721801758,688
Hill Climbing,8,26,"[4, 6, 0, 3, 1, 7, 5, 2]",0,True,0.0015037059783935547,2
Simulated Annealing,8,26,"[4, 2, 0, 5, 7, 1, 3, 7]",1,False,0.005038261413574219,688
Hill Climbing,8,27,"[0, 3, 7, 2, 4, 6, 1, 5]",1,False,0.0009958744049072266,3
Simulated Annealing,8,27,"[3, 6, 4, 2, 0, 5, 7, 1]",0,True,0.004988431930541992,607
Hill Climbing,8,28,"[4, 1, 7, 2, 7, 3, 6, 0]",2,False,0.0009996891021728516,2
Simulated Annealing,8,28,"[7, 2, 6, 3, 1, 7, 5, 0]",2,False,0.0063114166259765625,688
Hill Climbing,8,29,"[2, 7, 3, 6, 1, 1, 4, 0]",2,False,0.0005595684051513672,2
Simulated Annealing,8,29,"[3, 7, 0, 2, 5, 1, 6, 4]",0,True,0.004017353057861328,584
Hill Climbing,8,30,"[0, 5, 3, 6, 1, 7, 4, 2]",2,False,0.001993894577026367,3
Simulated Annealing,8,30,"[5, 5, 2, 0, 3, 7, 4, 1]",1,False,0.006482362747192383,688
